ISIN_BC;Biodiversity;EET Data Set Information;Energy efficiency;Environmental;Fossil fuels;Greenhouse gas emissions;Main criterias used for a first screening of ESG related products;MiFID Sustainability Preference Flag;MiFID/IDD Target Market - Manufacturer angle (from a client perspective);Scoping according to SFDR annex template;Social;Social and employee matters;Waste;Water
AT0000946488_3230;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0
AT0000947643_3230;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;0.0;1.0;1.0;1.0
AT0000948583_3230;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;1.0;1.0;1.0
AT0000969787_18;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AT0000973029_14;1.0;0.8;0.0;1.0;0.0;1.0;1.0;0.25;1.0;0.5;1.0;1.0;1.0;1.0
AT0000973037_3233;1.0;0.8;0.0;1.0;0.0;1.0;1.0;0.25;1.0;0.5;1.0;1.0;1.0;1.0
BE0057843311_3313;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;1.0;1.0;0.0;0.0
BE0142525329_3230;1.0;0.6;0.0;1.0;0.0;0.9047619047619048;1.0;0.5;1.0;0.5;1.0;0.8;1.0;1.0
BE0163900674_2731;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0163901680_3231;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0170209713_487;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0170210729_2732;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0174873795_487;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;1.0;1.0;0.0;0.0
BE0176734979_3231;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0176735018_491;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0940607956_487;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
BE0940608962_3230;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BE0942872327_3313;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BE0945529700_3313;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0945530716_2732;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE0948877239_2732;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;1.0;1.0
BE0948878245_3313;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;1.0;1.0
BE6214508093_3313;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
BE6214509109_487;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE6214512137_3231;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE6214513143_3313;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE6214514158_491;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE6253612228_3313;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE6253613234_3230;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;1.0;1.0
BE6253617276_2021;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
BE6269801120_2732;1.0;0.6;0.0;1.0;0.0;0.9047619047619048;1.0;0.5;1.0;0.5;1.0;0.8;1.0;1.0
BE6275981817_9760;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
BE6275985859_9760;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
BE6275990909_3313;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
BE6275992921_3313;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
BE6275994943_9760;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
BE6275995957_9760;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
BE6277606578_3313;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;1.0;1.0;0.0;0.0
BE6286677107_3230;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;1.0;1.0;0.0;0.0
BE6286680135_487;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;1.0;1.0;0.0;0.0
BE6286681141_3313;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;1.0;1.0;0.0;0.0
BE6286682156_3313;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;1.0;1.0;0.0;0.0
BE6286720535_3313;1.0;0.6;0.0;0.0;0.0;0.8095238095238095;1.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0
CH0281016474_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
CH0281016656_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
CH0281017506_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
CH0281018538_393;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.2;0.0;0.0
